Timestamp,ShorelinePosition_pixels,ShorelinePosition_m,WaveHeight_m,WavePeriod_s,WaveCelerity_m_s,WaterDepth_m,SeaLevelAnomaly_m
2021-10-13 07:45:00,646.6424148606811,64.66424148606812,0.595959663787452,25.0,1.2163896759477375,0.803974977653603,0.0
2021-10-13 08:00:00,634.04,63.403999999999996,0.46353559431829133,21.333333333333332,1.4649524972205146,2.4379575595198446,0.0
2021-10-13 08:15:00,805.5046153846154,80.55046153846155,0.5514705049492616,21.333333333333332,3.7046615475938207,23.609719274835104,0.0
2021-10-13 08:30:00,734.7646153846154,73.47646153846154,0.6273510913474625,21.333333333333332,4.059420674742794,15.930701341963811,0.0
2021-10-13 08:45:00,776.8328173374613,77.68328173374613,0.528401209261862,15.5,0.4136813125631592,0.1412002989024845,0.0
2021-10-13 09:00:00,681.5604900459418,68.15604900459418,0.63840210277855,20.5,0.7854384837835361,0.39888134849792023,0.0
2021-10-13 09:15:00,655.9890453834116,65.59890453834116,0.6649608993019378,21.333333333333332,0.7494301898207345,0.22480215768406087,0.0
2021-10-13 09:30:00,584.984496124031,58.49844961240311,0.5184275943355979,21.333333333333332,0.359937054398756,,0.0
2021-10-13 09:45:00,678.5201238390093,67.85201238390094,0.35507920343180555,21.333333333333332,1.2755257966297475,1.4040470028093957,0.0
2021-10-13 10:00:00,727.6407465007776,72.76407465007776,0.5333696193512024,25.0,3.98867644700978,15.20184895263128,0.0
2021-10-13 10:15:00,942.7433070866142,94.27433070866142,0.4682388127040195,21.333333333333332,1.1855587138933108,0.9510236769500576,0.0
2021-10-13 10:30:00,844.0146818923328,84.40146818923328,0.13110049152680833,16.0,1.3647812551321323,0.4050169510090698,0.0
2021-10-13 10:45:00,779.884176182708,77.9884176182708,0.6200875964201031,21.333333333333332,0.6263431829800027,0.2250935425261356,0.0
2021-10-13 11:00:00,785.9983579638752,78.59983579638752,0.6641232172873194,21.333333333333332,0.21969203467151482,,0.0
2021-10-13 11:15:00,697.5765472312704,69.75765472312705,0.4619167685248546,21.333333333333332,3.40333496877126,28.817569566634006,0.0
2021-10-13 11:30:00,627.6891447368421,62.76891447368421,0.47205545556343603,21.333333333333332,0.5032553602156492,0.4082383023726284,0.0
